collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020052000382,2020,052000382,1,1,3,1,11,3,3,8,3,0,0,0,0,-1,-1,-1,0,0.14821,0.85179,-1
2020230984311,2020,230984311,3,2,1,1,48,8,3,0,0,0,0,0,9,9,E01031288,3,1,0,1,-1
2020990940007,2020,990940007,1,3,1,1,40,7,2,0,0,0,0,0,9,-1,-1,6,1,1,0,-1
20201371A1810,2020,1371A1810,2,1,2,1,29,6,3,0,0,0,0,0,97,1,E01011625,-1,0,0.09301,0.90699,-1
2020160997714,2020,160997714,1,1,3,1,51,8,3,5,2,0,0,0,0,1,E01013142,3,1,0,1,-1
2020010286027,2020,010286027,1,1,1,1,36,7,3,0,0,0,0,0,1,3,E01003145,-1,0,0,1,-1
2020400985622,2020,400985622,1,1,1,1,81,11,3,0,0,0,0,0,9,7,E01017437,3,1,0,1,-1
2020990931083,2020,990931083,1,1,3,2,14,3,3,5,1,0,0,0,0,-1,-1,3,1,0,1,-1
2020010260309,2020,010260309,1,1,1,1,34,6,3,0,0,0,0,0,3,5,E01004057,-1,0,0,1,-1
202060Y138728,2020,60Y138728,2,1,1,1,21,5,3,0,0,0,0,0,9,-1,-1,-1,0,0.00979,0.99021,-1
202006A175230,2020,06A175230,2,1,1,2,27,6,3,0,0,0,0,0,1,4,E01005629,-1,0,0.11046,0.88954,-1
2020460927073,2020,460927073,1,1,2,2,88,11,3,0,0,1,0,0,9,10,E01024139,3,1,0,1,-1
2020200995178,2020,200995178,2,2,1,1,56,9,3,0,0,0,0,0,9,7,E01009251,3,1,0,1,-1
2020990969207,2020,990969207,2,1,1,2,74,10,3,0,0,0,0,0,9,6,-1,3,1,0,1,-1
2020320579619,2020,320579619,2,1,1,2,54,8,2,0,0,0,0,0,1,8,E01026035,-1,0,1,0,-1
2020531008514,2020,531008514,2,1,1,1,81,11,2,0,0,0,0,0,1,7,E01022287,7,1,1,0,-1
2020140933837,2020,140933837,2,1,1,1,17,4,3,0,0,0,0,0,3,-1,-1,3,1,0,1,-1
2020010247439,2020,010247439,1,1,1,2,25,5,3,0,0,0,0,0,9,3,E01001141,-1,0,0,1,-1
2020040923879,2020,040923879,2,2,1,2,20,4,3,0,0,0,0,0,9,7,E01025279,3,1,0,1,-1
2020100921921,2020,100921921,2,3,1,1,64,9,3,0,0,0,0,0,21,6,E01019200,3,1,0,1,-1
2020552000434,2020,552000434,2,1,1,1,24,5,3,0,0,0,0,0,1,6,E01015462,-1,0,0.11187,0.88813,-1
2020430075231,2020,430075231,1,1,1,1,34,6,3,0,0,0,0,0,9,4,E01031917,-1,0,0.04211,0.95789,-1
2020552000726,2020,552000726,1,1,2,1,73,10,3,0,0,1,0,0,9,7,E01020550,-1,0,0.09162,0.90838,-1
2020010282132,2020,010282132,1,1,3,2,45,7,2,2,1,0,0,0,0,3,E01001242,-1,0,1,0,-1
2020160980492,2020,160980492,2,1,1,2,50,8,2,0,0,0,0,0,1,3,E01012899,7,1,1,0,-1
2020230977704,2020,230977704,1,1,3,1,12,3,2,6,9,0,0,0,0,2,E01029842,7,1,1,0,-1
2020522004180,2020,522004180,2,1,1,1,50,8,3,0,0,0,0,0,5,7,E01015017,-1,0,0.07082,0.92918,-1
2020010253424,2020,010253424,3,2,2,2,42,7,3,0,0,1,0,0,9,6,E01001040,-1,0,0,1,-1
202031C055720,2020,31C055720,1,1,1,1,20,4,3,0,0,0,0,0,9,4,E01027933,-1,0,0.06616,0.93384,-1
2020371007992,2020,371007992,1,1,1,2,31,6,3,0,0,0,0,0,9,6,E01030080,3,1,0,1,-1
2020460930359,2020,460930359,3,1,1,1,27,6,3,0,0,0,0,0,9,3,E01016146,3,1,0,1,-1
2020470925321,2020,470925321,2,1,1,2,58,9,2,0,0,0,0,0,9,2,E01031371,7,1,1,0,-1
2020991003888,2020,991003888,2,1,1,1,53,8,3,0,0,0,0,0,11,1,-1,3,1,0,1,-1
2020010246992,2020,010246992,1,1,1,1,14,3,2,0,0,0,0,0,1,8,E01003798,-1,0,1,0,-1
2020552000517,2020,552000517,2,1,1,1,20,4,2,0,0,0,0,0,1,5,E01015427,-1,0,1,0,-1
2020211023865,2020,211023865,1,1,1,1,20,4,3,0,0,0,0,0,3,2,E01014302,3,1,0,1,-1
2020460984203,2020,460984203,1,1,1,2,49,8,2,0,0,0,0,0,9,5,E01024711,7,1,1,0,-1
2020010274082,2020,010274082,1,1,1,1,26,6,3,0,0,0,0,0,9,5,E01002651,-1,0,0,1,-1
2020030962769,2020,030962769,1,2,2,2,12,3,3,0,0,1,0,0,9,7,E01019169,3,1,0,1,-1
2020421015133,2020,421015133,1,1,3,2,45,7,3,6,9,0,0,0,0,9,E01021456,3,1,0,1,-1
2020010281147,2020,010281147,2,1,1,1,20,4,3,0,0,0,0,0,1,4,E01003913,-1,0,0,1,-1
2020332000641,2020,332000641,2,1,1,1,13,3,3,0,0,0,0,0,1,1,E01013679,-1,0,0.05823,0.94177,-1
2020480992583,2020,480992583,2,1,1,1,30,6,2,0,0,0,0,0,1,-1,-1,7,1,1,0,-1
2020200979839,2020,200979839,2,1,2,1,60,9,2,0,0,2,0,0,8,5,E01009654,7,1,1,0,-1
2020010277222,2020,010277222,1,1,1,2,42,7,3,0,0,0,0,0,9,6,E01002170,-1,0,0,1,-1
2020420945639,2020,420945639,1,3,2,1,20,4,3,0,0,2,0,0,9,4,E01033127,3,1,0,1,-1
2020440116309,2020,440116309,2,2,2,2,29,6,3,0,0,1,0,0,9,9,E01022712,-1,0,0.01359,0.98641,-1
2020530983347,2020,530983347,1,1,1,1,58,9,3,0,0,0,0,0,9,7,E01022376,3,1,0,1,-1
2020440259344,2020,440259344,1,2,2,2,63,9,2,0,0,0,0,0,10,3,E01023107,-1,0,1,0,-1
2020010285018,2020,010285018,2,1,1,1,27,6,3,0,0,0,0,0,3,5,E01000321,-1,0,0,1,-1
2020010260492,2020,010260492,1,1,1,1,33,6,3,0,0,0,0,0,9,9,E01030704,-1,0,0,1,-1
202063D060820,2020,63D060820,2,1,1,1,64,9,3,0,0,0,0,0,9,4,W01000438,-1,0,0.09688,0.90312,-1
2020350976961,2020,350976961,1,2,2,1,53,8,2,0,0,1,0,0,9,2,E01018063,6,1,1,0,-1
202031B086820,2020,31B086820,2,2,2,2,13,3,2,0,0,1,0,0,19,6,E01028312,-1,0,1,0,-1
2020200993525,2020,200993525,2,1,1,1,-1,-1,3,0,0,0,0,0,9,2,E01010268,3,1,0,1,-1
2020990982491,2020,990982491,2,1,1,1,43,7,3,0,0,0,0,0,1,7,-1,3,1,0,1,-1
2020450982499,2020,450982499,1,1,1,2,73,10,3,0,0,0,0,0,9,10,E01002938,3,1,0,1,-1
2020220974931,2020,220974931,2,1,2,2,9,2,3,0,0,0,0,0,19,2,E01013994,3,1,0,1,-1
2020420953862,2020,420953862,3,2,2,2,40,7,3,0,0,0,0,0,19,3,E01023343,3,1,0,1,-1
2020040978175,2020,040978175,3,3,1,2,57,9,3,0,0,0,0,0,9,6,E01012618,3,1,0,1,-1
2020430218195,2020,430218195,1,2,2,1,47,8,2,0,0,1,0,0,9,9,E01023823,-1,0,1,0,-1
2020552001191,2020,552001191,3,2,2,1,33,6,3,0,0,1,0,0,9,7,E01015340,-1,0,0.01502,0.98498,-1
2020430347000,2020,430347000,2,1,1,1,30,6,3,0,0,0,0,0,1,8,E01028603,-1,0,0.03435,0.96565,-1
2020010280687,2020,010280687,2,1,1,1,19,4,3,0,0,0,0,0,3,2,E01001441,-1,0,0,1,-1
2020010257731,2020,010257731,1,1,1,1,27,6,3,0,0,0,0,0,9,3,E01000499,-1,0,0,1,-1
2020010232359,2020,010232359,1,1,1,1,36,7,3,0,0,0,0,0,11,2,E01031983,-1,0,0,1,-1
2020211031994,2020,211031994,1,1,3,1,34,6,3,4,1,0,0,0,0,1,E01009957,3,1,0,1,-1
2020522100662,2020,522100662,2,1,1,1,31,6,3,0,0,0,0,0,1,6,E01014633,-1,0,0.08364,0.91636,-1
2020010234902,2020,010234902,1,1,1,2,33,6,3,0,0,0,0,0,9,8,E01001022,-1,0,0,1,-1
2020302000521,2020,302000521,1,1,1,1,39,7,3,0,0,0,0,0,9,4,E01019573,-1,0,0.07606,0.92394,-1
2020460986398,2020,460986398,2,2,1,1,19,4,3,0,0,0,0,0,9,4,E01024570,3,1,0,1,-1
202060Y020821,2020,60Y020821,3,1,1,2,31,6,3,0,0,0,0,0,9,-1,-1,-1,0,0.0192,0.9808,-1
202031B174820,2020,31B174820,1,1,3,1,11,3,3,4,3,0,0,0,0,6,E01028043,-1,0,0.17348,0.82652,-1
2020010233169,2020,010233169,1,1,1,1,36,7,3,0,0,0,0,0,9,3,E01004568,-1,0,0,1,-1
2020052001366,2020,052001366,2,1,1,1,17,4,3,0,0,0,0,0,1,1,E01007133,-1,0,0.11253,0.88747,-1
2020160983037,2020,160983037,2,1,1,1,24,5,3,0,0,0,0,0,1,1,E01012917,3,1,0,1,-1
2020052000435,2020,052000435,1,2,2,2,64,9,3,0,0,2,0,0,9,1,E01007124,-1,0,0.05399,0.94601,-1
2020430218491,2020,430218491,2,2,2,2,29,6,3,0,0,1,0,0,9,10,E01016625,-1,0,0.0369,0.9631,-1
2020470956301,2020,470956301,1,1,1,1,49,8,3,0,0,0,0,0,9,2,E01021091,3,1,0,1,-1
202031C020620,2020,31C020620,1,1,2,2,55,8,3,0,0,0,3,0,11,-1,-1,-1,0,0.10783,0.89217,-1
2020100916559,2020,100916559,1,1,3,1,34,6,3,1,1,0,0,0,0,2,E01008664,3,1,0,1,-1
2020030946181,2020,030946181,1,2,2,1,26,6,3,0,0,1,0,0,9,-1,-1,3,1,0,1,-1
2020340N03812,2020,340N03812,2,1,1,2,43,7,3,0,0,0,0,0,9,-1,-1,-1,0,0.00927,0.99073,-1
2020010228907,2020,010228907,1,3,2,1,0,1,3,0,0,0,3,0,11,6,E01002293,-1,0,0,1,-1
2020010248171,2020,010248171,1,1,3,2,9,2,2,5,1,0,0,0,0,9,E01001299,-1,0,1,0,-1
2020470971011,2020,470971011,2,1,1,2,31,6,3,0,0,0,0,0,9,7,E01031633,3,1,0,1,-1
2020530967790,2020,530967790,1,2,2,2,84,11,3,0,0,1,0,0,9,6,E01009924,3,1,0,1,-1
2020100930856,2020,100930856,1,2,2,2,18,4,3,0,0,1,0,0,9,1,E01008829,3,1,0,1,-1
2020220975667,2020,220975667,1,3,2,2,26,6,3,0,0,1,0,0,9,2,E01009512,3,1,0,1,-1
2020010268751,2020,010268751,2,1,1,1,32,6,2,0,0,0,0,0,1,2,E01001719,-1,0,1,0,-1
2020520003082,2020,520003082,1,1,3,2,25,5,3,6,9,0,0,0,0,5,E01029193,-1,0,0.03068,0.96932,-1
2020340W05842,2020,340W05842,2,1,1,1,70,10,3,0,0,0,0,0,1,-1,-1,-1,0,0.08249,0.91751,-1
2020552000670,2020,552000670,1,1,1,1,45,7,3,0,0,0,0,0,1,5,E01020503,-1,0,0.16343,0.83657,-1
2020200954503,2020,200954503,2,2,1,1,53,8,2,0,0,0,0,0,9,1,E01008918,6,1,1,0,-1
2020440197748,2020,440197748,1,1,1,1,24,5,3,0,0,0,0,0,9,4,E01017309,-1,0,0.10889,0.89111,-1
2020990917837,2020,990917837,1,1,1,2,28,6,2,0,0,0,0,0,9,10,-1,5,1,1,0,-1
2020470924424,2020,470924424,2,1,1,2,43,7,2,0,0,0,0,0,9,1,E01020995,5,1,1,0,-1
2020420989792,2020,420989792,1,1,3,2,11,3,3,6,9,0,0,0,0,8,E01021766,3,1,0,1,-1
2020420963029,2020,420963029,2,1,1,1,58,9,3,0,0,0,0,0,9,3,E01029916,3,1,0,1,-1
2020461013155,2020,461013155,1,1,1,1,28,6,3,0,0,0,0,0,9,1,E01024683,3,1,0,1,-1
2020520100515,2020,520100515,1,3,2,1,17,4,3,0,0,2,0,0,9,7,E01029317,-1,0,0.04728,0.95272,-1
2020990929363,2020,990929363,1,2,2,2,23,5,3,0,0,1,0,0,9,3,-1,3,1,0,1,-1
2020010282536,2020,010282536,1,1,2,1,-1,-1,3,0,0,0,3,0,11,-1,-1,-1,0,0,1,-1
2020010282615,2020,010282615,1,1,1,1,40,7,3,0,0,0,0,0,1,4,E01002698,-1,0,0,1,-1
2020990941019,2020,990941019,1,1,3,1,51,8,2,5,3,0,0,0,0,10,-1,7,1,1,0,-1
