collision_index,collision_year,collision_ref_no,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane_historic,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,generic_make_model,driver_imd_decile,lsoa_of_driver,escooter_flag,driver_distance_banding
2020552000431,2020,552000431,1,4,0,18,19,7,3,0,0,1,0,0,0,0,1,1,2,2,1,33,6,124,1,3,-1,3,E01015362,0,-1
2020470941150,2020,470941150,1,5,0,18,19,1,5,6,6,0,0,0,7,0,1,1,6,6,1,66,10,987,1,30,-1,1,E01020992,0,-1
2020010250384,2020,010250384,3,19,0,18,19,5,1,0,0,4,0,0,0,0,1,1,6,6,1,49,8,2179,2,14,CITROEN RELAY,3,E01003942,0,-1
2020470943096,2020,470943096,1,19,0,9,9,4,2,0,0,1,0,0,0,0,1,1,1,1,1,31,6,2198,2,12,CITROEN RELAY,9,E01031561,0,-1
2020420996167,2020,420996167,1,98,0,7,7,5,7,0,0,1,0,0,0,0,1,1,6,6,1,-1,-1,2179,2,17,CITROEN RELAY,10,E01021247,0,-1
20201379U0752,2020,1379U0752,2,19,0,4,4,5,1,0,0,1,0,0,0,0,1,1,1,1,1,46,8,1997,2,2,CITROEN RELAY,9,E01011170,0,-1
2020160982361,2020,160982361,1,98,0,18,19,3,7,0,0,0,1,0,0,0,4,1,1,1,1,35,6,2198,2,6,CITROEN RELAY,1,E01013221,0,-1
2020460939545,2020,460939545,2,10,0,4,4,2,6,0,0,1,0,0,0,0,1,1,3,7,1,58,9,2198,2,11,-1,8,E01024723,0,-1
2020010240328,2020,010240328,2,19,0,18,19,1,5,0,0,0,0,0,0,0,3,1,1,1,1,53,8,1997,2,2,CITROEN RELAY,6,E01030736,0,-1
2020991005961,2020,991005961,1,19,0,18,19,5,1,0,0,8,0,0,0,0,1,1,1,1,1,33,6,2198,2,6,CITROEN RELAY,7,-1,0,-1
202006Q667109,2020,06Q667109,1,19,0,9,9,7,5,0,0,8,1,0,0,0,1,1,1,1,1,52,8,2198,2,13,CITROEN RELAY,7,E01006057,0,-1
2020010266781,2020,010266781,2,19,0,18,19,7,3,0,0,2,0,0,0,0,1,1,6,6,3,-1,-1,2200,2,0,CITROEN RELAY,-1,-1,0,-1
2020010237799,2020,010237799,3,19,0,11,11,4,8,0,0,5,1,0,1,11,1,1,1,1,1,28,6,2198,2,9,CITROEN RELAY,2,E01024476,0,-1
2020010267039,2020,010267039,2,19,0,99,99,9,9,99,99,0,9,99,9,99,1,9,6,6,3,-1,-1,1997,2,2,CITROEN RELAY,3,E01001814,0,-1
2020137560523,2020,137560523,1,19,0,18,19,1,5,0,0,0,0,0,0,0,1,1,6,6,1,-1,-1,1997,2,14,CITROEN RELAY,-1,-1,0,-1
2020460979313,2020,460979313,2,19,0,18,19,3,7,0,0,0,0,0,0,0,1,1,2,2,1,54,8,2198,2,10,CITROEN RELAY,6,E01001678,0,-1
2020302000052,2020,302000052,2,19,0,17,19,8,4,0,0,1,0,0,0,0,1,1,1,1,1,65,9,2200,2,1,CITROEN RELAY,8,E01022384,0,-1
2020370979944,2020,370979944,1,98,0,18,19,3,7,0,0,8,0,0,0,0,1,1,1,1,1,20,4,2200,2,1,CITROEN RELAY,7,E01018065,0,-1
2020070262873,2020,070262873,1,19,0,5,5,1,7,0,0,8,0,0,0,0,1,1,2,2,1,26,6,1997,2,2,CITROEN RELAY,9,E01018474,0,-1
2020010240969,2020,010240969,1,19,0,9,9,7,6,0,0,5,0,0,0,0,3,1,1,1,1,46,8,2198,2,4,CITROEN RELAY,6,E01004077,0,-1
2020530927909,2020,530927909,1,19,0,5,5,7,5,0,0,1,0,0,0,0,1,1,1,1,1,23,5,1997,2,4,CITROEN RELAY,4,E01032343,0,-1
2020350999655,2020,350999655,1,98,0,18,19,4,8,0,0,0,0,0,0,0,1,1,1,1,3,-1,-1,1997,2,2,CITROEN RELAY,-1,-1,0,-1
2020010251100,2020,010251100,2,19,0,10,10,1,7,0,0,6,0,0,0,0,1,1,1,1,1,57,9,2198,2,4,CITROEN RELAY,6,E01001235,0,-1
2020161001794,2020,161001794,3,98,0,4,4,7,3,0,0,0,0,0,0,0,2,1,1,1,1,38,7,1997,2,1,CITROEN RELAY,9,E01013316,0,-1
2020101009500,2020,101009500,1,19,0,9,9,3,2,0,0,2,0,0,0,0,4,1,1,1,1,43,7,1997,2,2,CITROEN RELAY,8,E01012309,0,-1
2020010268517,2020,010268517,2,19,0,4,4,5,1,0,0,1,0,0,0,0,1,1,2,2,1,30,6,1997,2,3,CITROEN RELAY,3,E01000222,0,-1
2020010274122,2020,010274122,2,19,0,99,99,9,9,99,99,9,9,99,9,99,1,9,6,6,3,-1,-1,2198,2,6,CITROEN RELAY,8,E01023165,0,-1
2020010235021,2020,010235021,3,19,0,2,2,0,0,0,0,0,0,0,0,0,3,1,6,6,3,-1,-1,1997,2,1,CITROEN RELAY,-1,-1,0,-1
2020361016069,2020,361016069,1,19,0,9,9,4,1,0,0,1,0,0,1,0,1,1,1,1,1,49,8,2198,2,4,CITROEN RELAY,7,E01026484,0,-1
2020070440191,2020,070440191,1,19,0,17,19,6,2,0,0,0,0,0,0,0,1,1,6,6,1,-1,-1,1997,2,1,CITROEN RELAY,-1,-1,0,-1
2020140991242,2020,140991242,1,98,0,18,19,2,6,0,0,0,2,0,0,0,1,1,5,6,1,45,7,2200,2,1,CITROEN RELAY,8,E01007362,0,-1
2020210975578,2020,210975578,1,10,0,18,19,3,7,0,0,0,0,0,0,0,4,1,6,6,1,25,5,2198,2,6,-1,5,E01029569,0,-1
